Shipment number,EAN,SKU,Product,Invoice Id,Invoice amount,Quantity,Amount,Status,Reason,Payment method,Fulfiller Name
17544975871451342058J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,2,1698.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17545723577131871580J,,Extra Light Oilve Oil 1 ltr,Jivo Extra Light Oilve Oil 1 liter,,0.0,1,569.0,Cancelled by buyer,Expected delivery time is long,Prepaid_Payments,RRL HR JHJ Luhari 3P RFC
17545725581121614661J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,1,849.0,Cancelled by buyer,Expected delivery time is long,Prepaid_Payments,RRL HR JHJ Luhari 3P RFC
17545759248781722595J,,Jivo Pomace Olive Oil 5 Litre Tin (Pack of 1),"Jivo Pomace Cooking Edible Olive Oil 5 Litre Tin | Recommendable for Roasting, Frying, Baking All type of Cuisines| Healthy Cooking Oil for Daily use (Pack of 1)",,0.0,1,2099.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17545887507751977850J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,1,849.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17546323369531550049J,,Jivo Pomace Olive Oil 1 Litre,Jivo Pomace Olive Oil 1 Litre,,0.0,1,499.0,Cancelled by buyer,Expected delivery time is long,Prepaid_Payments,RRL HR JHJ Luhari 3P RFC
17546346018221230923J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,1,849.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17546326828541324334J,,Sunflower 5 ltr,Jivo Cold Pressed Sunflower Oil  5 Ltr - Chemical free,,0.0,1,1050.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17546465938071762968J,,Groundnut oil 5L,Jivo Cold Pressed oil Groundnut Oil - 5 Litre | Peanut Oil |Natural Cooking Oil | Chemical Free,,0.0,1,1199.0,Cancelled by buyer,My mistake,COD,RRL HR JHJ Luhari 3P RFC
17545763217281011021J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,1,849.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17546568594711449887J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,1,849.0,Cancelled by buyer,Expected delivery time is long,Prepaid_Payments,RRL HR JHJ Luhari 3P RFC
17546568594711449887J,,Jivo Gold_5 Ltr,Jivo Gold Refined Oil Blend of Rice Bran oil & Sunflower oil 5 litre,,0.0,1,850.0,Cancelled by buyer,Expected delivery time is long,Prepaid_Payments,RRL HR JHJ Luhari 3P RFC
17546624809251627016J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,1,849.0,Cancelled by buyer,Expected delivery time is long,Prepaid_Payments,RRL HR JHJ Luhari 3P RFC
17546656957961572677J,,Jivo Soyabean Oil 5L,JIVO Soyabean Cooking Oil 5 Ltr (Pack of 1),,0.0,1,849.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17546642474491281183J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,1,849.0,Cancelled by buyer,Expected delivery time is long,COD,RRL HR JHJ Luhari 3P RFC
17546686863501697487J,,Mustard Oil 5L,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,,0.0,1,849.0,Cancelled by buyer,Need to change Delivery Address,COD,RRL HR JHJ Luhari 3P RFC
