,BRAND,ORDERED_DATE,CITY,AREA_NAME,STORE_ID,L1_CATEGORY,L2_CATEGORY,L3_CATEGORY,PRODUCT_NAME,VARIANT,ITEM_CODE,COMBO,COMBO_ITEM_CODE,COMBO_UNITS_SOLD,BASE_MRP,UNITS_SOLD,GMV
9269,jivo,2025-08-04,Gurgaon,old gurgaon (zone 6),1389005,edible oils and ghee,olive oil,extra light olive oil,jivo extra light daily cooking olive oil,1 ltr,15687,No,,,1499.0,1.0,1499.0
9270,jivo,2025-08-04,Bangalore,vijayanagar,1403749,edible oils and ghee,edible oils,pomace oil,jivo daily cooking pomace olive oil,1 L,21709,No,,,1049.0,1.0,1049.0
9271,jivo,2025-08-04,Patna,phulwari sharif,1402616,edible oils and ghee,edible oils,mustard oil,jivo cold press kachi ghani mustard oil,1 L,60711,No,,,255.0,2.0,510.0
9272,jivo,2025-08-04,Kolkata,kalyani,1401479,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,1 L,390730,No,,,560.0,1.0,560.0
9273,jivo,2025-08-04,Warangal,hanamkonda,1395433,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 L,429981,No,,,225.0,1.0,225.0
9274,jivo,2025-08-04,Hyderabad,vanasthalipuram,1391894,edible oils and ghee,edible oils,rice bran oil,jivo ricebran oil 1l,1 ltr,958164,No,,,285.0,1.0,285.0
9275,jivo,2025-08-04,Kolkata,salt lake,1386097,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 L,429981,No,,,225.0,2.0,450.0
9276,jivo,2025-08-04,Dehradun,hathibarkala,1393569,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 L,429981,No,,,225.0,2.0,450.0
9277,jivo,2025-08-04,Aligarh,civil lines,1400958,edible oils and ghee,olive oil,extra virgin olive oil,jivo extra virgin olive oil,250 ml,240878,No,,,450.0,1.0,450.0
9278,jivo,2025-08-04,Chandigarh,west chd,1381441,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,1 L,390730,No,,,560.0,1.0,560.0
9279,jivo,2025-08-04,Hyderabad,kothapet & dilsukhnagar,1404574,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,1 L,390730,No,,,560.0,1.0,560.0
9280,jivo,2025-08-04,Mumbai,airoli,1398759,edible oils and ghee,edible oils,sunflower oil,jivo cold pressed chemical free sunflower oil,1 L,83633,No,,,275.0,1.0,275.0
9281,jivo,2025-08-04,Thiruvananthapuram,sreekaryam,1396291,edible oils and ghee,edible oils,mustard oil,jivo cold press kachi ghani mustard oil,1 L,60711,No,,,255.0,1.0,255.0
9282,jivo,2025-08-04,Chennai,villivakkam,1396287,edible oils and ghee,olive oil,pure olive oil,jivo so olive oil 1l,1 ltr,968589,No,,,325.0,1.0,325.0
9283,jivo,2025-08-04,Chandigarh,greater mohali,1386912,edible oils and ghee,edible oils,sunflower oil,jivo cold pressed chemical free sunflower oil,1 L,83633,No,,,275.0,3.0,825.0
9284,jivo,2025-08-04,Bangalore,btm,788740,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 L,429981,No,,,225.0,1.0,225.0
9285,jivo,2025-08-04,Bangalore,hsr,1392080,edible oils and ghee,edible oils,sunflower oil,jivo cold pressed chemical free sunflower oil,1 L,83633,No,,,275.0,1.0,275.0
9286,jivo,2025-08-04,Berhampur,berhampur,1403747,edible oils and ghee,olive oil,extra light olive oil,jivo extra light daily cooking olive oil,1 ltr,15687,No,,,1499.0,1.0,1499.0
9287,jivo,2025-08-04,Bangalore,geddalahalli,1382164,edible oils and ghee,edible oils,canola cold pressed oil,jivo canola cold press edible oil,1 ltr,15685,No,,,375.0,1.0,375.0
9288,jivo,2025-08-04,Mumbai,chembur,1391897,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 L,429981,No,,,225.0,2.0,450.0
9289,jivo,2025-08-04,Gurgaon,old gurgaon (zone 6),1389005,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,1 L,390730,No,,,560.0,1.0,560.0
9290,jivo,2025-08-04,Hyderabad,yapral kowkoor,1402257,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 L,429981,No,,,225.0,1.0,225.0
9291,jivo,2025-08-04,Patna,kankarbagh,1402068,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 L,429981,No,,,225.0,2.0,450.0
9292,jivo,2025-08-04,Hyderabad,nallakunta & vidyanagar,1385839,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,1 L,390730,No,,,560.0,1.0,560.0
9293,jivo,2025-08-04,Kurukshetra,air colony,1403458,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 L,429981,No,,,225.0,1.0,225.0
9294,jivo,2025-08-04,Gurgaon,jalvayu towers,1404613,edible oils and ghee,edible oils,rice bran oil,jivo ricebran oil 1l,1 ltr,958164,No,,,285.0,1.0,285.0
9295,jivo,2025-08-04,Kolkata,kankurgachi,1388197,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 L,429981,No,,,225.0,2.0,450.0
9296,jivo,2025-08-04,Hyderabad,nizampet,1389688,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 L,429981,No,,,225.0,2.0,450.0
9297,jivo,2025-08-04,Mumbai,palava city,1386534,edible oils and ghee,edible oils,groundnut oil,jivo cold pressed oil groundnut oil,5 L,401502,No,,,2800.0,1.0,2800.0
9298,jivo,2025-08-04,Bangalore,btm,788740,edible oils and ghee,edible oils,sunflower oil,jivo cold pressed chemical free sunflower oil,1 L,83633,No,,,275.0,3.0,825.0
9299,jivo,2025-08-04,Kochi,kalamassery,1402810,edible oils and ghee,edible oils,rice bran oil,jivo ricebran oil 1l,1 ltr,958164,No,,,285.0,1.0,285.0
9300,jivo,2025-08-04,Delhi,karol bagh,1229997,edible oils and ghee,edible oils,pomace oil,jivo pomace olive oil,5 L,79292,No,,,4999.0,1.0,4999.0
9301,jivo,2025-08-04,Bangalore,yeshwanthpur,1396467,edible oils and ghee,edible oils,cold pressed sunflower oil,jivo cold pressed chemical free sunflower oil,5 L,685793,No,,,1350.0,2.0,2700.0
9302,jivo,2025-08-04,Indore,vijay nagar,973251,edible oils and ghee,edible oils,sunflower oil,jivo cold pressed chemical free sunflower oil,1 L,83633,No,,,275.0,1.0,275.0
9303,jivo,2025-08-04,Chandigarh,north mohali,1390220,edible oils and ghee,edible oils,mustard oil,jivo cold press kachi ghani mustard oil,1 L,60711,No,,,255.0,7.0,1785.0
9304,jivo,2025-08-04,Nagpur,wardhaman nagar,1397035,edible oils and ghee,edible oils,sunflower oil,jivo cold pressed chemical free sunflower oil,1 L,83633,No,,,275.0,2.0,550.0
9305,jivo,2025-08-04,Pune,narhe,1393575,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 L,429981,No,,,225.0,2.0,450.0
9306,jivo,2025-08-04,Pune,pcmc,1383574,edible oils and ghee,olive oil,extra light olive oil,jivo extra light daily cooking olive oil,1 ltr,15687,No,,,1499.0,2.0,2998.0
9307,jivo,2025-08-04,Kochi,aluva,1403362,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 L,429981,No,,,225.0,1.0,225.0
9308,jivo,2025-08-04,Kochi,kakkanad,1319695,edible oils and ghee,edible oils,sunflower oil,jivo gold refined oil - blend of rice bran oil & sunflower oil,1 L,429981,No,,,225.0,1.0,225.0
9309,jivo,2025-08-04,Bangalore,indiranagar,854379,edible oils and ghee,edible oils,canola cold pressed oil,jivo canola cold press edible oil,1 ltr,15685,No,,,375.0,1.0,375.0
