StorageType,FacilityName,City,SkuCode,SkuDescription,L1,L2,ShelfLifeDays,BusinessCategory,DaysOnHand,PotentialGmvLoss,OpenPos,OpenPoQuantity,WarehouseQtyAvailable
Ambient,CBE ECOM,COIMBATORE,615911,Jivo Gold Refined Oil - Blend of Rice Bran oil & Sunflower oil 5.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,10143,"[JCEPO117001"",""JCEPO116689"",""JCEPO118024"",""JCEPO118409]",36,0
Ambient,CHD ECOM,CHANDIGARH,904426,JIVO COLD PRESSED MUSTARD OIL 5L 5.00 LTRS,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,9,30537.5,"[PCHPO126390"",""PCHPO125571]",24,34
Ambient,MUM FC22,MUMBAI,968589,JIVO SO OLIVE OIL 1L 1.00 LTR,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,6,22249.5,"[CMFPO201856"",""CMFPO199668"",""CMFPO201401]",64,63
Ambient,BLR IM1,BANGALORE,615911,Jivo Gold Refined Oil - Blend of Rice Bran oil & Sunflower oil 5.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,5365.5,"[MBIPO220772"",""MBIPO222661]",24,0
Ambient,CHD IMFC2_TEMP,PATIALA,958164,JIVO RICEBRAN OIL 1L 1.00 LTR,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,365,0,[],0,1
Ambient,DLHY GGNFC9,DELHI,958164,JIVO RICEBRAN OIL 1L 1.00 LTR,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,26274.15,[GGNPO203883],16,0
Ambient,BLR IM1,BANGALORE,21709,Jivo Daily Cooking Pomace Olive Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,13,68583.62,"[MBIPO228099"",""MBIPO225951]",112,125
Ambient,CHN ECOM,CHENNAI,390730,Jivo Cold Pressed oil Groundnut Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,108388,"[JCNPO170927"",""JCNPO173907"",""JCNPO174857]",640,1
Ambient,CBE ECOM,COIMBATORE,240878,Jivo Extra Virgin Olive Oil 250.0 ml,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,0,18238.5,"[JCEPO119590"",""JCEPO119305"",""JCEPO118409"",""JCEPO120292]",152,0
Ambient,KOL IM2,KOLKATA,15685,Jivo Canola Cold Press Edible Oil 1.0 ltr,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,365,0,[KWBPO15921],60,1
Ambient,LKO IM1,LUCKNOW,15685,Jivo Canola Cold Press Edible Oil 1.0 ltr,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,5118.75,[],0,0
Ambient,MUM IM1,MUMBAI,21709,Jivo Daily Cooking Pomace Olive Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,365,0,[],0,1
Ambient,MUM FC22,MUMBAI,615911,Jivo Gold Refined Oil - Blend of Rice Bran oil & Sunflower oil 5.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,16,14626.5,[],0,33
Ambient,HYD IM1,HYDERABAD,570572,Jivo Desi Ghee 1KG 1.0 kg,Edible Oils and Ghee,Ghee,244,Non Food,733,314.79,[CHMPO174140],6,22
Ambient,AHM DELHIVERY,AHMEDABAD,88218,Jivo Pomace Daily Cooking Olive Oil 2.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,6,3042.9,[],0,2
Ambient,HYD IM2,HYDERABAD,79292,JIVO POMACE OLIVE OIL 5.00 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,5598.88,[],0,0
